user,label,num_classes,accuracy,bal_acc,precision,recall,f1_score_macro,f1_score_micro
12,interest,4,0.9984262589928058,0.9987448189920626,0.9988065740650327,0.9987448189920626,0.998775144846864,0.9984262589928058
12,effort,4,0.9925809352517986,0.9935122819532379,0.9941341414533048,0.9935122819532379,0.9938204781765072,0.9925809352517986
17,attention,3,0.9937936565125929,0.9917948583965878,0.9910160419896875,0.9917948583965878,0.9914046234775391,0.9937936565125929
17,interest,3,0.9941539498611127,0.9925844307248997,0.9921172961050635,0.9925844307248997,0.9923505969712109,0.9941539498611127
17,effort,3,0.9937820341465116,0.990788359384319,0.9915767856707572,0.990788359384319,0.9911817671513056,0.9937820341465116
18,attention,5,0.9791119035370228,0.9793017862612213,0.9792035451863705,0.9793017862612213,0.9792450123198606,0.9791119035370228
18,interest,5,0.9802676551631795,0.9773862017630564,0.9736661861359466,0.9773862017630564,0.9755056136078201,0.9802676551631795
18,effort,3,0.9875051973586847,0.9856114214480488,0.9866071901063754,0.9856114214480488,0.9861072693667038,0.9875051973586847
19,attention,4,0.9909672466734902,0.9861144543857419,0.98715877532819,0.9861144543857419,0.9866359584446996,0.9909672466734902
19,interest,5,0.9953428863868987,0.990415012299384,0.9904184526931606,0.990415012299384,0.9904166430216217,0.9953428863868987
19,effort,3,0.9921443193449335,0.9908372986439189,0.9900291682232797,0.9908372986439189,0.9904325384769467,0.9921443193449335
20,attention,5,0.9892327220203966,0.9864976723923998,0.987342193324217,0.9864976723923998,0.9869097925650205,0.9892327220203966
20,interest,5,0.9888125355626559,0.9869660230093128,0.9880145246050127,0.9869660230093128,0.9874868497793974,0.9888125355626559
20,effort,5,0.9890751520987439,0.9882572781834643,0.9884227233417144,0.9882572781834643,0.9883384201078457,0.9890751520987439
22,attention,4,0.9795714594127807,0.9795616974676928,0.97485205649785,0.9795616974676928,0.977185211971725,0.9795714594127807
22,interest,5,0.982845782959125,0.9779853844242675,0.9756476196734786,0.9779853844242675,0.9768039054592634,0.982845782959125
22,effort,4,0.9792386298215314,0.9680676337367181,0.9626720245938152,0.9680676337367181,0.9653272329308936,0.9792386298215314
23,attention,5,0.9381265688994583,0.9411487791921548,0.959798478719601,0.9411487791921548,0.9486773914010594,0.9381265688994584
23,interest,5,0.9476390540362003,0.9640178906879393,0.9484834001477885,0.9640178906879393,0.9530808099511866,0.9476390540362003
23,effort,5,0.9415457788347206,0.910049653511129,0.9663910544489804,0.910049653511129,0.9342853491257535,0.9415457788347206
24,attention,5,0.9943571094720762,0.9909334890953432,0.987508372732296,0.9909334890953432,0.9892095285247791,0.9943571094720762
24,interest,5,0.99309173402036,0.9930522796933925,0.9931745509881422,0.9930522796933925,0.9931133283982089,0.99309173402036
24,effort,5,0.9932399311453358,0.9913752167581441,0.9922318072915643,0.9913752167581441,0.9917999444698824,0.9932399311453358
25,attention,4,0.9914047104291427,0.9908131513352685,0.9895014374957422,0.9908131513352685,0.9901512484527821,0.9914047104291427
25,interest,5,0.9883435054623376,0.9859645573716884,0.9862960430469638,0.9859645573716884,0.9861295551859778,0.9883435054623376
25,effort,4,0.9937914936766985,0.9901883769098991,0.9926869672398816,0.9901883769098991,0.9914325941945414,0.9937914936766985
