user,label,n_epochs,window_size,duration,num_classes,size,accuracy,bal_acc,precision,recall,f1_score_macro,f1_score_micro
8,attention,2,120,1.20353364944458,5,1818,0.3189878440330065,0.22446089617015366,0.15789380647466456,0.22446089617015366,0.11808107727365802,0.3189878440330065
8,interest,2,120,1.1700365543365479,5,1818,0.2856128586661658,0.22378331613969207,0.16569531430508608,0.22378331613969207,0.13841711138790957,0.2856128586661658
8,effort,2,120,1.9998462200164795,5,1818,0.1770944824286714,0.1466747440759187,0.113498238983619,0.1412437306449053,0.09837853525878772,0.1770944824286714
9,attention,2,120,2.254877805709839,5,2066,0.21940778688250692,0.24370436553555788,0.18361153256409574,0.24370436553555788,0.16421231760492885,0.2194077868825069
9,interest,2,120,2.252849578857422,5,2066,0.24924769581821588,0.23167334712451576,0.17737506415886278,0.23167334712451576,0.16437359206814808,0.24924769581821588
9,effort,2,120,1.8245007991790771,5,2066,0.38650640108798684,0.23042846203337203,0.10338067474098218,0.23042846203337203,0.13686629964319538,0.38650640108798684
10,attention,2,120,0.27837395668029785,4,288,0.19497691228899,0.2513119981869982,0.24772821910979803,0.2075514763014763,0.1515806778276978,0.19497691228899
10,interest,2,120,0.2753641605377197,4,288,0.329161373981158,0.244256392357763,0.20392106549364614,0.19399717576790126,0.18296829249499152,0.329161373981158
10,effort,2,120,0.27616000175476074,4,288,0.17318109562240158,0.2011231884057971,0.07553921568627452,0.16880434782608694,0.09956942163838715,0.17318109562240158
11,attention,2,120,0.6141722202301025,5,669,0.1340051509671763,0.13454844006568145,0.08538269137212598,0.11191707717569788,0.07124212213800868,0.1340051509671763
11,interest,2,120,0.4562709331512451,5,669,0.2143321235726299,0.33458458458458457,0.12184130574434028,0.2938438438438438,0.10641508362438595,0.2143321235726299
11,effort,2,120,0.44809842109680176,5,669,0.24565609379618855,0.26082995445559926,0.13962952336677878,0.26082995445559926,0.1548871483827496,0.24565609379618855
12,attention,2,120,0.13826918601989746,2,86,0.7614285714285715,0.7574712643678161,0.7403174603174604,0.7574712643678161,0.7004273504273504,0.7614285714285715
12,interest,2,120,0.0902864933013916,4,86,0.2982456140350877,0.16666666666666666,0.14912280701754385,0.16666666666666666,0.1574074074074074,0.2982456140350877
12,effort,2,120,0.08095622062683105,4,86,0.4916666666666667,0.4777777777777778,0.5321637426900585,0.42962962962962964,0.45587453482190327,0.4916666666666667
17,attention,2,120,0.9447190761566162,3,858,0.4407712522547763,0.33961500243083526,0.29876087271567375,0.33961500243083526,0.26027360129059834,0.4407712522547763
17,interest,2,120,0.9419944286346436,3,858,0.5220307008010503,0.44105074332606514,0.36460622610920657,0.3987979960733179,0.3429846560477063,0.5220307008010503
