user,label,num_classes,duration,order,size,accuracy,bal_acc,precision,recall,f1_score_macro,f1_score_micro
2,effort,5,10.15175986289978,4,155966,0.21583425304134313,0.20114411929748557,0.1649667086248074,0.19779882252372288,0.1509110237607138,0.21583425304134313
3,attention,5,9.201561689376831,4,145361,0.33763806472774693,0.24747912734505267,0.22983564143804008,0.22428509271327646,0.20924312469272194,0.3376380647277469
3,interest,5,9.371047019958496,4,145361,0.3233399933424842,0.32037449741047713,0.2981552833501461,0.28130764631915656,0.2542043390294256,0.3233399933424842
3,effort,5,9.227099895477295,4,145361,0.1770522990983498,0.17300474990486245,0.1876559407509347,0.17300474990486245,0.1491741999485671,0.1770522990983498
6,attention,3,6.323834657669067,4,171763,0.4195349406760574,0.3485577555732039,0.35221176211780436,0.3485577555732039,0.3186168815381923,0.4195349406760574
6,interest,3,6.381046533584595,4,171763,0.41557614189318937,0.4351006559135625,0.47097668570201157,0.4351006559135625,0.38803814155443533,0.41557614189318937
6,effort,5,10.628430128097534,4,171763,0.2229647235880691,0.2482153774153057,0.2593390768108561,0.20068393653247635,0.14745314648903246,0.2229647235880691
7,attention,4,8.260228395462036,4,174558,0.3903667846545663,0.360034209955159,0.24309545801558805,0.24308868954565094,0.21376336716070124,0.3903667846545663
7,interest,4,8.13651990890503,4,174558,0.5012974596159065,0.39252199713522345,0.30082031739397275,0.3053835550441333,0.27088304351507675,0.5012974596159065
7,effort,4,8.954078197479248,4,174558,0.40721230359460064,0.3572167169475259,0.31252113578664503,0.26861298292446645,0.22187002881011733,0.40721230359460064
8,attention,5,13.702930927276611,4,222319,0.22049854223294352,0.1548279265141878,0.12869435815738603,0.12448369317578203,0.1064051349647068,0.22049854223294352
8,interest,5,13.639269590377808,4,222319,0.23992116411935252,0.23245966746117946,0.2186048214359093,0.18218138143026485,0.1593886142903185,0.23992116411935252
8,effort,5,13.572710752487183,4,222319,0.2196146465574354,0.20533659746731786,0.22068081574264237,0.19425964282848204,0.18344113893967393,0.21961464655743534
9,attention,5,14.850804090499878,4,251940,0.27520500054217867,0.21298661887729353,0.19970040545947235,0.19586536529100237,0.1872691592481494,0.27520500054217867
9,interest,5,15.066653728485107,4,251940,0.2413117372281067,0.19556752307455758,0.21086249132053644,0.17793450084107007,0.16311262463358137,0.2413117372281067
9,effort,5,14.931119680404663,4,251940,0.3439586759488547,0.21895421969514298,0.1694776338389824,0.18255040476591083,0.14933132794218063,0.3439586759488547
10,attention,4,3.1643853187561035,4,35673,0.16953149731402423,0.23169060141127043,0.30405944219979186,0.14605157825870174,0.12904346978440862,0.16953149731402423
10,interest,4,3.104043483734131,4,35673,0.15740860136063697,0.16330760878852535,0.33945924095454966,0.10371410978376083,0.12740377014446486,0.15740860136063697
10,effort,4,3.072946786880493,4,35673,0.26113750686022386,0.28186583990569164,0.30528411810471184,0.19307364803295926,0.1714605366791177,0.26113750686022386
11,attention,5,6.24917197227478,4,82768,0.08013035295434826,0.07028108182882907,0.07124708102663288,0.0524048587741181,0.050006279789084764,0.08013035295434826
11,interest,5,6.407212972640991,4,82768,0.13592726405697503,0.16042952664973145,0.11359234300316257,0.11029013148423288,0.0830001791973215,0.13592726405697503
11,effort,5,6.176643371582031,4,82768,0.3251034047538789,0.3079093866121957,0.20796751450241785,0.22560739949201478,0.18696326516213588,0.3251034047538789
12,attention,2,0.5977485179901123,4,11120,0.4536382161115319,0.40840692460300454,0.4206037486676018,0.38810041119304284,0.34907643663950216,0.4536382161115319
12,interest,4,2.0135276317596436,4,11120,0.3912575024285442,0.34167687543690345,0.2795149335764192,0.1551137618511131,0.17129962726688475,0.3912575024285442
12,effort,4,1.94783353805542,4,11120,0.16213176808354612,0.2258694847521725,0.37140336945883523,0.1735555866151871,0.11447983994338544,0.16213176808354612
17,attention,3,4.323554515838623,4,107552,0.49143273970194745,0.42808345951149507,0.49502085862857753,0.42808345951149507,0.4097966421842333,0.49143273970194745
17,interest,3,4.381535768508911,4,107552,0.5551545385066463,0.4621331861242153,0.469043945213713,0.42928327371272273,0.4019609246681397,0.5551545385066463
17,effort,3,4.814389944076538,4,107552,0.5860552636940344,0.47613267758197636,0.35463000463031247,0.3580828482211182,0.31904716980630676,0.5860552636940344
18,attention,5,11.253812551498413,4,177374,0.2298096190805663,0.19176039088240476,0.16455052027974681,0.1391401609377217,0.13023613775406526,0.2298096190805663
18,interest,5,10.580899477005005,4,177374,0.28220891823404637,0.23036098090665108,0.17549294342281913,0.16185709634847112,0.1519941516957455,0.28220891823404637
18,effort,3,6.694804668426514,4,177374,0.42221702207425943,0.3351203297325977,0.321924900338314,0.2856996284846414,0.24989327034685482,0.42221702207425943
19,attention,4,3.5044755935668945,4,48850,0.5275740426572775,0.4576987836899867,0.29700690744916924,0.30431913071873395,0.24023692271391733,0.5275740426572775
19,interest,5,4.440443277359009,4,48850,0.5598640928300499,0.421670934015179,0.26994397227195,0.27361327421401016,0.2400932296512041,0.5598640928300499
19,effort,3,2.759925603866577,4,48850,0.44618028789137876,0.38923294341111303,0.34236184015415083,0.3577395556848203,0.3007664485901008,0.44618028789137876
20,attention,5,9.083949327468872,4,142794,0.3376336152394047,0.23495551338948598,0.19139803453711954,0.18796441071158881,0.17567728931252496,0.3376336152394047
20,interest,5,8.851053953170776,4,142794,0.3062491484961175,0.272974430431725,0.22344998412511954,0.19614514061340385,0.19075691699457312,0.3062491484961175
20,effort,5,8.877583265304565,4,142794,0.18637966589528127,0.19457720870000497,0.18169338958367284,0.18909311978725882,0.15318280257198508,0.18637966589528127
22,attention,4,7.1395556926727295,4,138960,0.3636080095446212,0.2801168240869935,0.2611340085309247,0.234417466081146,0.20792161366514922,0.3636080095446212
22,interest,5,8.478448867797852,4,138960,0.32992914674577417,0.23801131419117727,0.1848305474168183,0.21886201815574086,0.16093605536667632,0.32992914674577417
22,effort,4,6.707550525665283,4,138960,0.3251174524568901,0.29966687107190504,0.21082380655997746,0.2131263413503433,0.18972120928777936,0.3251174524568901
23,attention,5,14.400228500366211,4,236532,0.3161396623008138,0.2736130239144539,0.2184909233284999,0.2213812171785258,0.2074387697674267,0.3161396623008138
23,interest,5,14.84329605102539,4,236532,0.24484620043746808,0.21781227147086368,0.14094786696989753,0.16549383078726576,0.12619917887889925,0.24484620043746808
23,effort,5,13.781180620193481,4,236532,0.39158314705647146,0.30199768472184296,0.2396242939397882,0.2451171310034735,0.21720457290092518,0.39158314705647146
24,attention,5,6.852212429046631,4,109652,0.39148818735741425,0.2524866740362851,0.17627925757340965,0.1702790615039884,0.16643678164396608,0.39148818735741425
24,interest,5,7.486439943313599,4,109652,0.2489013131414818,0.22838211361862798,0.20660736639768307,0.1927663258747644,0.1612464502801511,0.2489013131414818
24,effort,5,7.074780702590942,4,109652,0.3169336863305468,0.32080680632968567,0.20018948907752837,0.2285363143363282,0.18313316172315178,0.3169336863305468
25,attention,4,13.08248257637024,4,261336,0.29183222908495193,0.27239793665370726,0.2956187174790372,0.21861575421896834,0.17783351069807307,0.29183222908495193
25,interest,5,15.603046417236328,4,261336,0.2590812600583587,0.19827777047354292,0.17314969396204397,0.14174642007785762,0.10510176853302311,0.2590812600583587
25,effort,4,13.01779055595398,4,261336,0.5129504832455545,0.3634127982884504,0.30001535448713734,0.24118776931556138,0.21666616969943914,0.5129504832455545
1,attention,5,6.486609220504761,5,85991,0.31775797452221033,0.30934390254494,0.30454323232686026,0.26421184838486683,0.2418940656984579,0.31775797452221033
1,interest,5,6.326347589492798,5,85991,0.33492545647005284,0.286040221360812,0.23859817314520587,0.21827599586462076,0.1969676705393197,0.33492545647005284
1,effort,5,6.807814121246338,5,85991,0.2538500837826899,0.2248591190783012,0.20083557790153345,0.1798872952626409,0.16445733239219684,0.2538500837826899
