user,label,n_epochs,window_size,duration,num_classes,size,accuracy,bal_acc,precision,recall,f1_score_macro,f1_score_micro
22,effort,2,120,1.0455951690673828,4,1118,0.3947471710660653,0.35391569912537013,0.29806484522336585,0.3037573505295215,0.295090595060016,0.3947471710660653
23,attention,2,120,1.828787088394165,5,1930,0.2936415195396812,0.25057356470527314,0.2373586377525549,0.23055716385341052,0.18800959765652445,0.2936415195396813
23,interest,2,120,1.4582586288452148,5,1930,0.28123976127673733,0.23224290631975808,0.19340482112218102,0.21787082097453914,0.18005744251132738,0.28123976127673733
23,effort,2,120,1.463923454284668,5,1930,0.34168629071993056,0.24339054134346444,0.19905369016151464,0.2335160106183113,0.154409503453685,0.34168629071993056
24,attention,2,120,0.6853094100952148,5,879,0.433411258769696,0.360160140308777,0.31466723088356435,0.360160140308777,0.3039478714470532,0.433411258769696
24,interest,2,120,0.6886749267578125,5,879,0.25829888624366826,0.17136344356676075,0.10935240677292309,0.16081656856676074,0.11890469420535683,0.25829888624366826
24,effort,2,120,0.6861934661865234,5,879,0.2977859601953515,0.27473000316654284,0.28714120060706705,0.24788445013051363,0.1972593676506001,0.2977859601953515
25,attention,2,120,1.6208100318908691,4,2145,0.321109868541791,0.29960139474869946,0.20646370857439345,0.26098660412560043,0.1587788963990225,0.321109868541791
25,interest,2,120,2.025642156600952,5,2145,0.3722668422173846,0.26487364117216283,0.1511299060885208,0.2332057418449216,0.15770928023878694,0.3722668422173846
25,effort,2,120,2.025193929672241,4,2145,0.4966492305678297,0.3551213633859136,0.22711533501910125,0.27881002279171174,0.22746187818783165,0.4966492305678297
