model,user,label,n_epochs,window_size,duration,num_classes,size,multiple,sigma,bandpass,accuracy,bal_acc,precision,recall,f1_score_macro,f1_score_micro
EEGNet,10,attention,100,120,1.7069897651672363,4,288,5,0.2,False,0.24335987758513794,0.21992104386841232,0.22452991452991453,0.15802113821850663,0.16449286145149128,0.24335987758513794
EEGNet,10,interest,100,120,1.5953407287597656,4,288,5,0.2,False,0.2737764875444599,0.28278922164435827,0.27762597350152873,0.18918175313595814,0.18984540170298686,0.2737764875444599
EEGNet,10,effort,100,120,2.6365699768066406,4,288,5,0.2,False,0.29398075652551625,0.30772384630019833,0.25913790221796584,0.21119014145392723,0.20121225422542546,0.29398075652551625
EEGNet,11,attention,100,120,8.407061100006104,5,669,5,0.2,False,0.18993150744055456,0.1570099246138705,0.20396710513428778,0.11611862081113297,0.1184038472061711,0.18993150744055456
EEGNet,11,interest,100,120,5.989840507507324,5,669,5,0.2,False,0.22556190272412993,0.23735486208179463,0.2646722231066617,0.1622738268203522,0.15552409897134326,0.22556190272412993
EEGNet,11,effort,100,120,10.387101173400879,5,669,5,0.2,False,0.273955691534786,0.2663829751532647,0.15928856911733622,0.1988086221714824,0.1416284845647719,0.273955691534786
EEGNet,12,attention,100,120,1.0858211517333984,2,86,5,0.2,False,0.6182706766917294,0.507593890220665,0.503923483923484,0.45759389022066504,0.47042415917415925,0.6182706766917294
EEGNet,12,interest,100,120,0.5619337558746338,4,86,5,0.2,False,0.40883458646616544,0.3088235294117647,0.19583333333333333,0.13357843137254902,0.1550925925925926,0.40883458646616544
EEGNet,12,effort,100,120,0.9500253200531006,4,86,5,0.2,False,0.3003968253968254,0.312063492063492,0.27615440115440115,0.12560846560846559,0.15111746361746362,0.3003968253968254
EEGNet,17,attention,100,120,7.635993957519531,3,858,5,0.2,False,0.37717124757156417,0.29631018456544933,0.2631719907520824,0.29631018456544933,0.2518350800718147,0.37717124757156417
EEGNet,17,interest,100,120,5.10358190536499,3,858,5,0.2,False,0.4497268765824874,0.4060383729806009,0.3539372149678147,0.37239368433591225,0.33736932871473946,0.4497268765824874
EEGNet,17,effort,100,120,4.895993709564209,3,858,5,0.2,False,0.4503261272796335,0.3930780099806202,0.3693126872795004,0.31146603217873886,0.2991044383868792,0.4503261272796335
EEGNet,18,attention,100,120,13.33552360534668,5,1434,5,0.2,False,0.3931100085005779,0.28777249083174083,0.20378943687631973,0.21376886226530245,0.18014183416208485,0.3931100085005779
EEGNet,18,interest,100,120,7.108560562133789,5,1434,5,0.2,False,0.2953682427228787,0.26656000053750506,0.2431665294878208,0.19461212103957348,0.18867246038493135,0.2953682427228787
EEGNet,18,effort,100,120,10.348155736923218,3,1434,5,0.2,False,0.4768776506507443,0.34930384400671405,0.31234874001956164,0.30011077303015393,0.2869222156501839,0.4768776506507443
EEGNet,19,attention,100,120,3.0646164417266846,4,382,5,0.2,False,0.5456349206349206,0.3700515779351342,0.24851031778585098,0.23699413738088995,0.23115748691396726,0.5456349206349206
EEGNet,19,interest,100,120,2.559133529663086,5,382,5,0.2,False,0.41791225749559086,0.34625591698428004,0.22952901658090338,0.20768012122881938,0.18750889508405327,0.41791225749559086
EEGNet,19,effort,100,120,3.2935829162597656,3,382,5,0.2,False,0.49833001554123674,0.34852446171467144,0.3278658432054664,0.31588557282578256,0.30991835828525816,0.49833001554123674
EEGNet,20,attention,100,120,15.098021268844604,5,1152,5,0.2,False,0.3521542141550206,0.24087835392349,0.18150483880209428,0.2224833972475496,0.15833736852629796,0.3521542141550206
EEGNet,20,interest,100,120,13.771068334579468,5,1152,5,0.2,False,0.32895153877098876,0.25487366303723896,0.24488935723685343,0.203782874948954,0.17250760298851675,0.32895153877098876
EEGNet,20,effort,100,120,16.747470378875732,5,1152,5,0.2,False,0.200694135320841,0.22221879692272864,0.16281978824374588,0.210646729499268,0.1377400324660137,0.200694135320841
EEGNet,22,attention,100,120,17.073851108551025,4,1118,5,0.2,False,0.405438477061309,0.32757351267053436,0.2930689078526766,0.3090338015565658,0.24186199594036423,0.405438477061309
EEGNet,22,interest,100,120,17.75480556488037,5,1118,5,0.2,False,0.4467278943191674,0.283828125,0.18905377247855762,0.283828125,0.1990565454919985,0.4467278943191674
EEGNet,22,effort,100,120,18.93188166618347,4,1118,5,0.2,False,0.43488866865677533,0.3888209071236062,0.3611186294392006,0.37012055177243564,0.3508918266974357,0.43488866865677533
EEGNet,23,attention,100,120,15.427221298217773,5,1930,5,0.2,False,0.2802087789672366,0.21898541059469942,0.2014345615630045,0.18458611017791665,0.154127027393699,0.2802087789672366
EEGNet,23,interest,100,120,17.907655715942383,5,1930,5,0.2,False,0.282343999050862,0.2598470422106625,0.17394640436309075,0.2176047469522052,0.15859478004544353,0.282343999050862
EEGNet,23,effort,100,120,11.984571933746338,5,1930,5,0.2,False,0.33675019345411067,0.22431873169580246,0.17045125564730593,0.18197528849338346,0.143475179867934,0.33675019345411067
EEGNet,24,attention,100,120,9.674891471862793,5,879,5,0.2,False,0.406543762609214,0.32034821567841093,0.25690081485735383,0.25309883807904265,0.22605137116747465,0.406543762609214
EEGNet,24,interest,100,120,11.499785661697388,5,879,5,0.2,False,0.3118799030348972,0.26617148780550465,0.19856769822474848,0.26617148780550465,0.19345956601723824,0.3118799030348972
EEGNet,24,effort,100,120,9.285141229629517,5,879,5,0.2,False,0.29882504826540646,0.3160929791036209,0.3182842597307519,0.2660161067453868,0.1949084041073818,0.29882504826540646
EEGNet,25,attention,100,120,15.678885459899902,4,2145,5,0.2,False,0.3276979707678735,0.2744382428261796,0.23691819642108017,0.21893212658617323,0.1586133982667055,0.3276979707678735
EEGNet,25,interest,100,120,20.59378695487976,5,2145,5,0.2,False,0.352157501058264,0.2651960139533598,0.18114400978319056,0.2337129376780298,0.14731938540518502,0.352157501058264
EEGNet,25,effort,100,120,18.489531993865967,4,2145,5,0.2,False,0.4185354469919901,0.2901596240495733,0.23189355061100142,0.23877989132168637,0.21699257813235423,0.4185354469919901
