,C1,C2,C3,C4,C5,C6,C7,C8,Timestamp,effort
2288,172947.515625,-16529.609375,201281.765625,188394.609375,180231.6875,157605.28125,173230.140625,205124.359375,1131629.97918814,1.0
2289,172935.3125,-16499.806640625,201300.984375,188414.875,180212.328125,157594.84375,173216.265625,205111.484375,1131644.98118814,1.0
2290,172930.734375,-16498.51953125,201299.59375,188415.359375,180217.140625,157589.734375,173217.5625,205112.140625,1131654.98318814,1.0
2291,172930.171875,-16536.09375,201270.125,188386.84375,180237.5,157587.453125,173231.625,205126.828125,1131668.98518814,1.0
2292,172941.65625,-16589.21484375,201230.59375,188347.890625,180266.359375,157592.40625,173255.609375,205153.203125,1131684.98718814,1.0
2293,172966.546875,-16617.490234375,201213.1875,188331.390625,180297.015625,157610.390625,173286.453125,205186.765625,1131698.98918814,1.0
2294,172975.375,-16634.560546875,201202.9375,188319.375,180304.6875,157618.0625,173299.1875,205199.546875,1131709.99118814,1.0
2295,172975.515625,-16640.568359375,201199.84375,188312.84375,180298.109375,157616.59375,173294.890625,205191.921875,1131720.99318814,1.0
2296,172964.359375,-16620.970703125,201213.90625,188326.140625,180278.421875,157611.90625,173273.296875,205169.21875,1131734.99518814,1.0
2297,172943.796875,-16580.91796875,201243.375,188354.515625,180246.90625,157602.046875,173243.203125,205137.65625,1131746.99718814,1.0
2298,172933.03125,-16529.037109375,201279.765625,188390.703125,180227.25,157595.703125,173221.703125,205115.53125,1131763.99918814,1.0
2299,172920.765625,-16509.248046875,201288.015625,188400.53125,180211.75,157580.203125,173204.15625,205091.984375,1131780.00118814,1.0
2300,172922.109375,-16511.013671875,201285.25,188399.34375,180218.90625,157577.25,173205.921875,205093.78125,1131795.00318814,1.0
2301,172931.03125,-16539.2890625,201264.6875,188378.453125,180238.890625,157580.34375,173222.984375,205112.859375,1131809.00518814,1.0
2302,172948.53125,-16584.921875,201233.171875,188348.125,180267.546875,157591.078125,173251.078125,205142.09375,1131818.00718814,1.0
2303,172966.125,-16622.01953125,201209.375,188323.0,180291.203125,157602.703125,173275.25,205166.21875,1131832.00918814,1.0
2304,172978.953125,-16637.373046875,201202.375,188313.078125,180301.734375,157613.34375,173286.5,205176.8125,1131845.01118814,1.0
2305,172978.796875,-16629.220703125,201208.765625,188319.28125,180296.484375,157616.921875,173282.21875,205172.9375,1131859.01318814,1.0
2306,172966.640625,-16609.908203125,201224.0625,188332.25,180274.453125,157607.1875,173260.046875,205149.25,1131873.01518814,1.0
2307,172948.1875,-16577.76953125,201244.515625,188351.796875,180242.21875,157592.5,173230.328125,205117.671875,1131884.01718814,1.0
2308,172930.59375,-16540.00390625,201268.359375,188374.96875,180217.234375,157577.90625,173205.0625,205093.6875,1131904.01918814,1.0
2309,172924.828125,-16506.76953125,201291.625,188399.390625,180211.65625,157575.4375,173197.8125,205086.203125,1131916.02118814,1.0
2310,172915.859375,-16511.060546875,201284.625,188394.375,180210.796875,157568.28125,173195.53125,205082.828125,1131931.02318814,1.0
2311,172920.390625,-16544.15234375,201259.921875,188370.96875,180232.15625,157571.0,173212.359375,205102.9375,1131943.02518814,1.0
2312,172943.65625,-16579.390625,201237.171875,188349.890625,180269.640625,157589.03125,173251.703125,205142.515625,1131957.02718814,1.0
2313,172966.875,-16609.478515625,201218.0625,188330.671875,180297.53125,157604.0,173282.9375,205172.234375,1131971.02918814,1.0
