user,label,n_epochs,window_size,duration,num_classes,size,accuracy,bal_acc,precision,recall,f1_score_macro,f1_score_micro
17,interest,1000,120,56.46986150741577,3,858,0.503866894637575,0.3977927072152351,0.34868492406306495,0.3977927072152351,0.34489694140873267,0.503866894637575
17,effort,1000,120,45.222763776779175,3,858,0.4937803297709782,0.4284313725490196,0.18840559537274054,0.39673202614379083,0.2452193188554416,0.4937803297709783
18,attention,1000,120,40.460915088653564,5,1434,0.13568559954102122,0.09139880952380952,0.10221106961303039,0.06329761904761905,0.07612506541077971,0.13568559954102122
18,interest,1000,120,68.16364979743958,5,1434,0.230677956581571,0.16513799211882074,0.14405152031370583,0.15843301127590886,0.14360289878523147,0.230677956581571
18,effort,1000,120,137.31035089492798,3,1434,0.4888602455872183,0.3923783173348391,0.2661403891417916,0.3923783173348391,0.29771072887779193,0.4888602455872183
19,attention,1000,120,18.478800296783447,4,382,0.5278769841269841,0.4938676075268817,0.3090801411945029,0.4938676075268817,0.33213745571039816,0.5278769841269841
19,interest,1000,120,12.548073768615723,5,382,0.6444003527336861,0.4368471035137702,0.39281705948372614,0.39013532763532766,0.3770860296916635,0.644400352733686
19,effort,1000,120,29.660523653030396,3,382,0.2667321494054168,0.22830236004791532,0.2390249492008767,0.22830236004791532,0.17634097398643406,0.2667321494054168
20,attention,1000,120,65.41088771820068,5,1152,0.21231454417865558,0.13555984643179766,0.13188160852689199,0.12562380307136403,0.11564390484154134,0.21231454417865558
20,interest,1000,120,41.167572259902954,5,1152,0.2060905196498417,0.18346153846153845,0.05001919806922275,0.18346153846153845,0.07687766691263756,0.2060905196498417
20,effort,1000,120,57.663254737854004,5,1152,0.155755898823821,0.14438843896766926,0.07859207649851938,0.14438843896766926,0.09157174554419173,0.155755898823821
22,attention,1000,120,88.44144415855408,4,1118,0.3137114348686,0.2479860947750856,0.12844512301746938,0.2479860947750856,0.1536868305705668,0.3137114348686
22,interest,1000,120,92.56172943115234,5,1118,0.3994948241964311,0.22858076115888615,0.13305740802597718,0.22858076115888615,0.16458789103818847,0.3994948241964311
22,effort,1000,120,59.684645891189575,4,1118,0.18867815698416487,0.25,0.06289271899472162,0.25,0.0951829332626152,0.1886781569841649
23,attention,1000,120,152.02579355239868,5,1930,0.19573727544176264,0.17297496706192356,0.12594466413919853,0.17297496706192356,0.1198631538188819,0.19573727544176264
23,interest,1000,120,118.36674809455872,5,1930,0.267050269332296,0.335682489211901,0.13542993304719886,0.335682489211901,0.17479873621634354,0.267050269332296
23,effort,1000,120,94.68542289733887,5,1930,0.23371832631364833,0.21329397062928668,0.18071524246671725,0.19716222376123846,0.16198395306745472,0.2337183263136483
24,attention,1000,120,52.68793058395386,5,879,0.3302720826572228,0.33718158188176933,0.2222976796663168,0.30865445009882364,0.2413558350492013,0.3302720826572228
24,interest,1000,120,64.2034044265747,5,879,0.545488171520844,0.4609113436615099,0.30138090298925635,0.4609113436615099,0.35149060796841497,0.545488171520844
24,effort,1000,120,56.38057827949524,5,879,0.172299851551797,0.186381960191484,0.0810334274952919,0.186381960191484,0.1001929553245209,0.172299851551797
25,attention,1000,120,166.12172031402588,4,2145,0.27978772935175755,0.25180128373031585,0.26373028678263694,0.2387254384885223,0.18886506550422652,0.27978772935175755
25,interest,1000,120,156.067467212677,5,2145,0.29508958832198734,0.2843519500412396,0.14092997908962118,0.24832891481088729,0.15572067884372037,0.29508958832198734
25,effort,1000,120,196.47640252113342,4,2145,0.3395207941949043,0.22840432953381867,0.21398016575452958,0.1769976027505955,0.16785778943511379,0.3395207941949043
